vae,band,step,offset,raw_sign0,adj_acc
Wan2.2,L2_LH,4,-0.19067,0.8971,0.9771
Wan2.2,L2_LH,5,-0.178612,0.9686,0.98
Wan2.2,L2_LH,6,-0.069465,0.9829,0.9886
Wan2.2,L2_LH,7,-0.063445,0.9829,0.9886
Wan2.2,L2_LH,8,-0.062624,0.9857,0.9886
Wan2.2,L2_LH,9,-0.050459,0.9886,0.9914
Wan2.2,L2_LH,10,-0.035136,0.9914,0.9943
Wan2.2,L2_LH,11,0.008016,0.9943,0.9943
Wan2.2,L2_LH,12,0.029519,0.9943,0.9943
Wan2.2,L2_LH,13,-0.061091,0.9943,0.9914
Wan2.2,L2_LH,14,-0.059526,0.9943,0.9943
Wan2.2,L2_LH,15,-0.044685,0.9943,0.9943
Wan2.2,L2_LH,16,0.00103,0.9971,0.9971
Wan2.2,L2_LH,17,0.008731,0.9971,0.9971
Wan2.2,L2_LH,18,0.014532,0.9971,0.9971
Wan2.2,L2_LH,19,0.017289,0.9971,0.9971
Wan2.2,L2_LH,20,0.018371,0.9971,0.9971
Wan2.2,L2_LH,21,0.017978,0.9971,0.9971
Wan2.2,L2_LH,22,0.017029,0.9971,0.9971
Wan2.2,L2_LH,23,0.010942,0.9971,0.9971
Wan2.2,L2_LH,24,0.004855,0.9971,0.9971
Wan2.2,L2_LH,25,0.000748,0.9971,0.9971
Wan2.2,L2_LH,26,-0.001384,0.9971,0.9971
Wan2.2,L2_LH,27,-0.00257,0.9971,0.9971
Wan2.2,L2_LH,28,-0.002769,0.9971,0.9971
Wan2.2,L2_LH,29,-0.002842,0.9971,0.9971
Wan2.2,L2_LH,30,-0.002277,0.9971,0.9971
SD1.5,L2_LH,2,0.289336,0.52,0.991
SD1.5,L2_LH,3,0.255316,0.532,0.992
SD1.5,L2_LH,4,0.236798,0.548,0.994
SD1.5,L2_LH,5,0.207455,0.571,0.996
SD1.5,L2_LH,6,0.18644,0.597,0.996
SD1.5,L2_LH,7,0.208428,0.618,0.998
SD1.5,L2_LH,8,0.191201,0.64,0.999
SD1.5,L2_LH,9,0.175785,0.656,0.999
SD1.5,L2_LH,10,0.16192,0.668,0.999
SD1.5,L2_LH,11,0.127898,0.705,0.999
SD1.5,L2_LH,12,0.104974,0.732,0.999
SD1.5,L2_LH,13,0.125535,0.742,0.999
SD1.5,L2_LH,14,0.109991,0.741,0.999
SD1.5,L2_LH,15,0.099088,0.74,0.999
SD1.5,L2_LH,16,0.072225,0.741,0.998
SD1.5,L2_LH,17,0.065816,0.738,0.998
SD1.5,L2_LH,18,0.077516,0.739,0.998
SD1.5,L2_LH,19,0.059591,0.734,0.997
SD1.5,L2_LH,20,0.059194,0.729,0.997
SD1.5,L2_LH,21,0.069833,0.726,0.998
SD1.5,L2_LH,22,0.058686,0.728,0.998
SD1.5,L2_LH,23,0.05891,0.724,0.998
SD1.5,L2_LH,24,0.057817,0.726,0.998
SD1.5,L2_LH,25,0.056362,0.723,0.998
SD1.5,L2_LH,26,0.05337,0.727,0.998
SD1.5,L2_LH,27,0.050319,0.731,0.998
SD1.5,L2_LH,28,0.046777,0.733,0.998
SD1.5,L2_LH,29,0.043085,0.736,0.998
SD1.5,L2_LH,30,0.039793,0.74,0.998
